task_id,category,time_period,news_group,task_index,total_samples_in_category,samples_used_for_tasks,support_size,query_size,positive_ratio,avg_news_age,cold_samples_used,hot_samples_used
period0_cold_task0,period0_cold,0,cold,0,3918,2500,32,32,0.4375,1.3185577430555555,,
period0_cold_task1,period0_cold,0,cold,1,3918,2500,32,32,0.21875,2.313629227430556,,
period0_cold_task2,period0_cold,0,cold,2,3918,2500,32,32,0.25,2.261732378472222,,
period0_cold_task3,period0_cold,0,cold,3,3918,2500,32,32,0.21875,2.0044706163194443,,
period0_cold_task4,period0_cold,0,cold,4,3918,2500,32,32,0.375,2.1687522135416666,,
period0_cold_task5,period0_cold,0,cold,5,3918,2500,32,32,0.28125,1.5478107378472223,,
period0_cold_task6,period0_cold,0,cold,6,3918,2500,32,32,0.375,1.88175578125,,
period0_cold_task7,period0_cold,0,cold,7,3918,2500,32,32,0.53125,2.187274722222222,,
period0_cold_task8,period0_cold,0,cold,8,3918,2500,32,32,0.40625,0.52434859375,,
period0_cold_task9,period0_cold,0,cold,9,3918,2500,32,32,0.375,1.7929601041666667,,
period0_cold_task10,period0_cold,0,cold,10,3918,2500,32,32,0.53125,2.271379626736111,,
period0_cold_task11,period0_cold,0,cold,11,3918,2500,32,32,0.3125,0.5492731944444444,,
period0_cold_task12,period0_cold,0,cold,12,3918,2500,32,32,0.34375,1.2301284982638887,,
period0_cold_task13,period0_cold,0,cold,13,3918,2500,32,32,0.40625,0.4140783593749997,,
period0_cold_task14,period0_cold,0,cold,14,3918,2500,32,32,0.46875,2.069137300347222,,
period0_cold_task15,period0_cold,0,cold,15,3918,2500,32,32,0.25,2.161916171875,,
period0_cold_task16,period0_cold,0,cold,16,3918,2500,32,32,0.46875,0.5366579166666665,,
period0_cold_task17,period0_cold,0,cold,17,3918,2500,32,32,0.28125,2.039730833333333,,
period0_cold_task18,period0_cold,0,cold,18,3918,2500,32,32,0.40625,2.1244794097222224,,
period0_cold_task19,period0_cold,0,cold,19,3918,2500,32,32,0.25,1.4048802864583334,,
period0_cold_task20,period0_cold,0,cold,20,3918,2500,32,32,0.4375,1.5233451475694446,,
period0_cold_task21,period0_cold,0,cold,21,3918,2500,32,32,0.21875,2.242248862847222,,
period0_cold_task22,period0_cold,0,cold,22,3918,2500,32,32,0.375,1.7935676909722222,,
period0_cold_task23,period0_cold,0,cold,23,3918,2500,32,32,0.34375,2.2666391059027777,,
period0_cold_task24,period0_cold,0,cold,24,3918,2500,32,32,0.1875,2.1590197309027777,,
period0_cold_task25,period0_cold,0,cold,25,3918,2500,32,32,0.3125,1.9719074565972223,,
period0_cold_task26,period0_cold,0,cold,26,3918,2500,32,32,0.4375,1.4876040017361112,,
period0_cold_task27,period0_cold,0,cold,27,3918,2500,32,32,0.40625,1.4012252430555554,,
period0_cold_task28,period0_cold,0,cold,28,3918,2500,32,32,0.40625,2.0361321961805556,,
period0_cold_task29,period0_cold,0,cold,29,3918,2500,32,32,0.375,1.892119392361111,,
period0_cold_task30,period0_cold,0,cold,30,3918,2500,32,32,0.5,0.9465137847222224,,
period0_cold_task31,period0_cold,0,cold,31,3918,2500,32,32,0.4375,1.6127074479166668,,
period0_cold_task32,period0_cold,0,cold,32,3918,2500,32,32,0.1875,2.2082732552083337,,
period0_cold_task33,period0_cold,0,cold,33,3918,2500,32,32,0.375,-0.018381961805555402,,
period0_cold_task34,period0_cold,0,cold,34,3918,2500,32,32,0.21875,1.6866162239583333,,
period0_cold_task35,period0_cold,0,cold,35,3918,2500,32,32,0.4375,1.1855812239583334,,
period0_cold_task36,period0_cold,0,cold,36,3918,2500,32,32,0.25,1.0163229166666667,,
period0_cold_task37,period0_cold,0,cold,37,3918,2500,32,32,0.25,1.9976041753472222,,
period0_cold_task38,period0_cold,0,cold,38,3918,2500,32,32,0.5,1.868002456597222,,
